Site_ID,Center_Name,Permit_Holder,Address,Borough,Zip_Code,Phone,Permit_Number,Permit_Expiration_Date,Permit_Status,Age_Range,Maximum_Capacity,Certified_to_Administer_Medication,Site_Type,Number_Of_Violations,Hazard_Violations,Critical_Violations,General_Violations,Number_Of_Visits,Mean_Violations_Per_Visit,Score,Mean_Rank,Mean_Cat,Score_Rank,Score_Cat,Lat,Lon
DC15151,THE EDUCATIONAL ALLIANCE PRESCHOOL,"THE EDUCATIONAL ALLIANCE, INC.",179 HENRY ST,MANHATTAN,10002,212-780-2300,2306,2014-03-18,Expired-InRenewal,2 YEARS - 5 YEARS,267,No,Private,3,0,2,1,3,1.0,1.66667,956,Average,804,Average,40.71373699999999,-73.98827399999999
DC2421,THE EPISCOPAL SCHOOL IN THE CITY OF NEW YORK,THE EPISCOPAL SCHOOL IN THE CITY OF NEW YORK,35 EAST 69 STREET,MANHATTAN,10021,212-879-9764,4201,2014-09-08,Permitted,2 YEARS - 5 YEARS,115,No,Private,2,0,0,2,3,0.666667,0.666667,643,Top 30%,441,Top 30%,40.769634,-73.965751
DC14302,THE FAMILY ANNEX,THE FAMILY ANNEX,560 WEST 113 STREET,MANHATTAN,10025,212-749-3271,4765,2015-05-11,Permitted,0 YEARS - 2 YEARS,11,No,Private,2,0,2,0,4,0.5,1.0,491,Top 30%,591,Top 30%,40.805608,-73.96477999999999
DC3019,THE FAMILY ANNEX,THE FAMILY ANNEX,560 WEST 113 STREET,MANHATTAN,10025,212-749-3271,4761,2015-06-25,Permitted,2 YEARS - 5 YEARS,29,No,Private,1,0,1,0,3,0.333333,0.666667,390,Top 30%,443,Top 30%,40.805608,-73.96477999999999
DC2998,THE FIRST PRESBYTERIAN CHURCH OF FOREST HILLS,FOREST HILLS PRESBYTERIAN DAY SCHOOL,70-35 112 STREET,QUEENS,11375,718-268-8546,1811,2015-03-23,Permitted,2 YEARS - 5 YEARS,29,No,Private,0,0,0,0,5,0.0,0.0,237,Top 5%,18,Top 5%,40.7233135,-73.8394783
DC507,THE FORESIGHT SCHOOL,"EDUCATIONAL ENTERPRISES, INC.",2221 RICHMOND AVENUE,STATEN ISLAND,10314,718-761-6060,5186,2015-12-09,Permitted,2 YEARS - 5 YEARS,145,No,Private,3,0,1,2,5,0.6,0.8,579,Top 30%,487,Top 30%,40.59277300000001,-74.162384
DC3025,THE GINGERBREAD LEARNING CENTER,THE GINGERBREAD LEARNING CENTER INC.,80 WOODROW ROAD,STATEN ISLAND,10312,718-356-0008,6038,2015-07-26,Permitted,2 YEARS - 5 YEARS,102,Yes,Private,15,0,7,8,4,3.75,5.5,2024,Bottom 15%,1851,Bottom 15%,40.563029,-74.180591
DC2398,"THE GINGERBREAD LEARNING CENTER, INC.","THE GINGERBREAD LEARNING CENTER, INC.#1",471 NORTH GANNON AVENUE,STATEN ISLAND,10314,718-356-0008,5579,2013-09-15,Expired-InRenewal,2 YEARS - 5 YEARS,30,Yes,Private,1,0,0,1,2,0.5,0.5,494,Top 30%,392,Top 30%,40.608325,-74.144818
DC21595,THE GODDARD SCHOOL,2495 BROADWAY CENTER LLC,2495 BROADWAY,MANHATTAN,10025,212-712-2727,10257,2015-11-10,Permitted,2 YEARS - 5 YEARS,159,No,Private,5,2,1,2,5,1.0,2.0,946,Average,990,Average,40.7926894,-73.9737169
DC25014,THE GODDARD SCHOOL,2495 BROADWAY CENTER LLC,2495 BROADWAY,MANHATTAN,10025,212-712-2727,49237,2015-07-31,Permitted,0 YEARS - 2 YEARS,28,No,Private,0,0,0,0,1,0.0,0.0,239,Top 5%,63,Top 5%,40.7926894,-73.9737169
DC14166,"THE HOUSE OF LITTLE PEOPLE, INC.","THE HOUSE OF LITTLE PEOPLE,INC.",122 EAST 91 STREET,MANHATTAN,10128,212-369-2740,5526,2015-05-22,Permitted,0 YEARS - 2 YEARS,15,No,Private,1,0,1,0,2,0.5,1.0,497,Top 30%,571,Top 30%,40.782719,-73.95396000000001
DC2216,"THE HOUSE OF LITTLE PEOPLE, INC.","THE HOUSE OF LITTLE PEOPLE,INC.",122 EAST 91 STREET,MANHATTAN,10128,212-369-2740,4368,2015-03-31,Permitted,2 YEARS - 5 YEARS,20,No,Private,0,0,0,0,3,0.0,0.0,215,Top 5%,47,Top 5%,40.782719,-73.95396000000001
DC1388,"THE HOUSE OF LITTLE PEOPLE, TOO","T.R. LITTLE PEOPLE, LTD.",129 EAST 90 STREET,MANHATTAN,10128,212-860-8118,6724,2015-05-09,Permitted,0 YEARS - 2 YEARS,27,No,Private,2,0,2,0,4,0.5,1.0,498,Top 30%,538,Top 30%,40.782348,-73.9538309
DC3089,THE HUDSON GUILD,THE HUDSON GUILD,441 WEST 26 STREET,MANHATTAN,10001,212-760-9800,4719,2015-12-17,Permitted,2 YEARS - 5 YEARS,24,No,ACS Contracted Preschools,0,0,0,0,3,0.0,0.0,206,Top 5%,224,Top 5%,40.749552,-74.0022443
DC14934,THE INFANT AND CHILD LEARNING CENTER AT SUNY,THE RESEARCH FOUNDATION OF SUNY,670 PARKSIDE AVENUE,BROOKLYN,11226,718-675-1249,7802,2015-09-28,Permitted,2 YEARS - 5 YEARS,99,No,Private,15,3,5,7,7,2.14286,3.71429,1574,Bottom 30%,1498,Bottom 30%,40.65593,-73.95128
DC22336,THE INTERNATIONAL ACADEMY,"B'ABOVE WORLDWIDE INSTITUTE, INC.",87 PUTNAM AVENUE,BROOKLYN,11238,718-872-6565,26777,2014-11-01,Permitted,2 YEARS - 5 YEARS,80,Yes,ACS Contracted Preschools,10,5,5,0,5,2.0,5.0,1461,Bottom 30%,1778,Bottom 30%,40.6830981,-73.95831170000001
DC16845,THE INTERNATIONAL PRESCHOOL,THE INTERNATIONAL PRESCHOOL,330  EAST 45TH STREET,MANHATTAN,10017,212-371-8604,7878,2014-06-20,Expired-InRenewal,0 YEARS - 2 YEARS,20,No,Private,6,0,5,1,6,1.0,1.83333,899,Average,867,Average,40.7510872,-73.9692681
DC16837,THE INTERNATIONAL PRESCHOOL,THE INTERNATIONAL PRESCHOOL,330 EAST 45 STREET,MANHATTAN,10017,212-371-8604,7879,2014-06-20,Expired-InRenewal,2 YEARS - 5 YEARS,96,No,Private,22,2,13,7,7,3.14286,5.57143,1903,Bottom 15%,1872,Bottom 15%,40.7510872,-73.9692681
DC3139,THE INTERNATIONAL PRESCHOOLS,THE INTERNATIONAL PRESCHOOLS,120 WEST 76 STREET,MANHATTAN,10023,212-724-5164,7234,2014-09-27,Permitted,2 YEARS - 5 YEARS,85,No,Private,14,2,9,3,6,2.33333,4.5,1655,Bottom 30%,1687,Bottom 30%,40.7802798,-73.9779374
DC22822,THE INTERNATIONAL PRESCHOOLS,"INTERNATIONAL PRESCHOOLS, INC.",345 EAST 86TH STREET,MANHATTAN,10028,212-371-8604,51678,2015-09-06,Permitted,2 YEARS - 5 YEARS,80,No,Private,2,0,1,1,1,2.0,3.0,1424,Bottom 30%,1326,Average,40.7774312,-73.9499242
DC19685,THE JOY OF LEARNING DAY CARE CENTER,JOY OF LEARNING CHILD DEVELOPMENT CORP.,992 GATES AVENUE,BROOKLYN,11221,718-443-6463,8016,2015-06-01,Permitted,2 YEARS - 5 YEARS,75,No,Private,2,1,0,1,6,0.333333,0.666667,403,Top 30%,433,Top 30%,40.6890641,-73.9236289
DC1490,THE KIDS KORNER PRESCHOOL,THE KIDS KORNER PRE-SCHOOL,247 WEST 24 STREET,MANHATTAN,10011,212-229-9340,6015,2016-03-24,Permitted,2 YEARS - 5 YEARS,37,No,Private,2,0,0,2,2,1.0,1.0,927,Average,529,Top 30%,40.74576829999999,-73.99701759999999
DC25758,THE LAUGH AND LEARN PLACE,THE LAUGH AND LEARN PLACE,228-23 MERRICK BLVD,QUEENS,11413,718-525-5318,57537,2016-02-25,Permitted,2 YEARS - 5 YEARS,20,No,Private,0,0,0,0,1,0.0,0.0,54,Top 5%,156,Top 5%,40.67664980000001,-73.7418622
DC20953,THE LEAGUE CENTER NURSERY/JOAN FENICHEL THERAPEUTIC NURSERY,THE LEAGUE SCHOOL,470 VANDERBILT AVENUE,BROOKLYN,11238,718-643-5300,13457,2016-03-13,Permitted,2 YEARS - 5 YEARS,200,No,Private,2,1,1,0,3,0.666667,1.66667,641,Top 30%,789,Average,40.6830766,-73.9680195
DC26061,THE LEARNING EXPERIENCE,RONOMOZA INC.,412 KINGS HIGHWAY,BROOKLYN,11223,718-627-7340,52619,2015-09-30,Permitted,0 YEARS - 2 YEARS,38,No,Private,6,6,0,0,4,1.5,4.5,1233,Average,1686,Bottom 30%,40.604455,-73.9747414
DC26062,THE LEARNING EXPERIENCE,RONOMOZA INC.,412 KINGS HIGHWAY,BROOKLYN,11223,718-627-7340,52637,2015-09-30,Permitted,2 YEARS - 5 YEARS,107,No,Private,11,8,3,0,5,2.2,6.0,1602,Bottom 30%,1931,Bottom 15%,40.604455,-73.9747414
DC2259,THE LEARNING TREE,THE LEARNING TREE,74-15 JUNIPER BOULEVARD NORTH,QUEENS,11379,718-899-2020,4204,2015-07-01,Permitted,2 YEARS - 5 YEARS,79,No,Private,4,1,2,1,4,1.0,2.0,912,Average,978,Average,40.7212713,-73.8844465
DC18309,THE LEARNING TREE,"BOOKS & RATTLES,INC.",86-28 FRANCIS LEWIS BLVD.,QUEENS,11427,718-740-2300,7865,2016-03-10,Permitted,2 YEARS - 5 YEARS,76,No,Private,2,0,0,2,7,0.285714,0.285714,368,Top 30%,281,Top 15%,40.724691,-73.765333
DC2361,THE LIFE SKILLS PRE-SCHOOL,THE LIFE SKILLS HOME TRAINING TUTORIAL PROGRAM FOR PRESCHOOLERS,97-30 QUEENS BOULEVARD,QUEENS,11374,718-459-6279,5106,2014-10-15,Permitted,2 YEARS - 5 YEARS,91,No,Private,1,0,1,0,4,0.25,0.5,358,Top 15%,391,Top 30%,40.728192,-73.85936099999999
DC238,THE LITTLE BRICK HOUSE DAY CARE CENTER,THE LITTLE BRICK HOUSE DAY CARE CENTER INC,3928 HARPER AVENUE,BRONX,10466,718-994-1036,5868,2014-09-14,Permitted,2 YEARS - 5 YEARS,16,No,Private,4,1,1,2,3,1.33333,2.33333,1131,Average,1090,Average,40.890301,-73.832735
DC16912,THE LITTLE CHILDREN'S GARDEN,THE LITTLE CHILDREN'S GARDEN INC,150-38 UNION TURNPIKE,QUEENS,11367,718-380-0966,8234,2014-11-30,Permitted,2 YEARS - 5 YEARS,29,No,Private,3,0,3,0,4,0.75,1.5,683,Average,745,Average,40.7184037,-73.8108262
DC1709,"THE LITTLE DARLINGS DAY CENTER,INC.","LITTLE DARLINGS DAY CARE CENTER,INC.",1531 NOSTRAND AVENUE,BROOKLYN,11226,718-469-6207,4830,2014-07-19,Expired-InRenewal,2 YEARS - 5 YEARS,47,No,Private,14,2,7,5,4,3.5,6.25,1977,Bottom 15%,1953,Bottom 15%,40.648749,-73.949055
DC14556,"THE LITTLE DOLPHIN, INC.","THE LITTLE DOLPHIN, INC.",107-01 CROSS BAY BLVD.,QUEENS,11417,718-641-7754,7483,2015-09-28,Permitted,2 YEARS - 5 YEARS,50,No,Private,2,1,1,0,6,0.333333,0.833333,399,Top 30%,515,Top 30%,40.6787647,-73.8441197
DC19830,THE LITTLE LEARNING CENTER,"THE LITTLE LEARNING CENTER,INC.",147-32 SANFORD AVENUE,QUEENS,11355,347-732-4307,8126,2016-04-16,Permitted,2 YEARS - 5 YEARS,30,No,Private,2,0,2,0,6,0.333333,0.666667,414,Top 30%,442,Top 30%,40.759804,-73.815939
DC25237,THE LITTLE SCHOLAR'S LEARNING CENTER,VIZZINI HOLDINGS INC.,8702 AVENUE L,BROOKLYN,11236,347-462-1549,43244,2015-06-11,Permitted,2 YEARS - 5 YEARS,30,No,Private,9,2,5,2,2,4.5,9.0,2114,Bottom 5%,2124,Bottom 5%,40.633698,-73.902264
DC21206,THE LITTLE WIZARDS PRESCHOOL,THE LITTLE WIZARDS PRESCHOOL,2942  EAST 194TH STREET,BRONX,10461,718-409-5411,8274,2015-03-14,Permitted,2 YEARS - 5 YEARS,30,No,Private,5,0,3,2,3,1.66667,2.66667,1319,Average,1198,Average,40.8523237,-73.83002979999999
DC12269,THE MADISON AVENUE PRESBYTERIAN CHURCH DAY SCHOOL,THE MADISON AVENUE PRESBYTERIAN CHURCH,921 MADISON AVENUE,MANHATTAN,10021,212-288-9638,1548,2015-02-13,Permitted,2 YEARS - 5 YEARS,111,No,Private,5,0,4,1,5,1.0,1.8,915,Average,844,Average,40.772546,-73.964467
DC22619,"THE MANHATTAN KID'S CLUB III, INC","THE MANHATTAN KID'S CLUB III, INC",350 6TH   AVENUE,MANHATTAN,10011,212-677-0600,10477,2015-12-30,Permitted,0 YEARS - 2 YEARS,46,Yes,Private,4,1,1,2,4,1.0,1.75,939,Average,840,Average,40.731971,-74.000405
DC12266,"THE MANHATTAN KIDS CLUB II,INC","THE MANHATTAN KIDS CLUB II,INC",629 EAST 14 STREET,MANHATTAN,10009,212-533-1977,7156,2015-08-13,Permitted,2 YEARS - 5 YEARS,85,Yes,Private,4,3,1,0,4,1.0,2.75,960,Average,1214,Average,40.7291613,-73.976652
DC15123,THE MANHATTAN KIDS CLUB III,THE MANHATTAN KIDS CLUB III,350 6TH   AVENUE,MANHATTAN,10011,212-677-0600,10479,2015-12-30,Permitted,2 YEARS - 5 YEARS,112,Yes,Private,2,0,0,2,4,0.5,0.5,554,Top 30%,379,Top 30%,40.731971,-74.000405
DC14145,THE MAPLE STREET SCHOOL,THE MAPLE STREET SCHOOL,21 LINCOLN ROAD,BROOKLYN,11225,718-282-4345,7291,2016-06-25,Permitted,2 YEARS - 5 YEARS,51,Yes,Private,1,0,1,0,5,0.2,0.4,324,Top 15%,356,Top 15%,40.6606049,-73.9624359
DC3013,THE MEDICAL CENTER NURSERY SCHOOL,THE MEDICAL CENTER NURSERY SCHOOL,60 HAVEN AVENUE,MANHATTAN,10032,212-304-7040,3053,2013-04-27,Expired-InRenewal,2 YEARS - 5 YEARS,60,No,Private,4,2,2,0,4,1.0,2.5,836,Average,1137,Average,40.8437274,-73.94297569999999
DC2864,THE MONTESSORI  FAMILY SCHOOL OF MANHATTAN,THE MONTESSORI FAMILY SCHOOL OF MANHATTAN,323 EAST 47 STREET,MANHATTAN,10017,212-688-5950,4730,2015-06-02,Permitted,0 YEARS - 2 YEARS,20,No,Private,3,1,1,1,3,1.0,2.0,779,Average,930,Average,40.7525649,-73.9684912
DC22477,"THE MONTESSORI KIDS OF LIC, INC / PRESCHOOL","THE MONTESSORI KIDS OF LIC, INC",5 COURT SQUARE,QUEENS,11101,347-746-5542,64719,2016-05-19,Permitted,2 YEARS - 5 YEARS,57,No,Private,0,0,0,0,2,0.0,0.0,121,Top 5%,207,Top 5%,40.7465729,-73.942813
DC2654,THE MONTESSORI SCHOOL OF NEW YORK INTERNATIONAL,THE MONTESSORI SCHOOL OF NEW YORK INTERNATIONAL,347 EAST 55 STREET,MANHATTAN,10022,212-223-4630,5158,2015-03-30,Permitted,2 YEARS - 5 YEARS,40,No,Private,4,0,4,0,3,1.33333,2.66667,1111,Average,1199,Average,40.757468,-73.9643679
DC11950,THE MOTHER HALE LEARNING CENTER,"HALE HOUSE CENTER, INC.",300 MANHATTAN AVENUE,MANHATTAN,10026,212-665-2834,7517,2016-02-29,Permitted,0 YEARS - 2 YEARS,26,No,Private,12,2,6,4,4,3.0,5.5,1858,Bottom 30%,1855,Bottom 15%,40.8028169,-73.958281
DC14688,THE MOTHER HALE LEARNING CENTER,"HALE HOUSE CENTER, INC.",300 MANHATTAN AVENUE,MANHATTAN,10026,212-665-2834,7516,2016-01-30,Permitted,2 YEARS - 5 YEARS,12,No,Private,8,1,5,2,4,2.0,3.75,1480,Bottom 30%,1511,Bottom 30%,40.8028169,-73.958281
DC2368,THE NEW BUSY BEE LEARNING CENTER,JM31 CORP,122-01 GUY R BREWER BOULEVARD,QUEENS,11434,718-341-0580,7287,2015-09-12,Permitted,2 YEARS - 5 YEARS,30,No,Private,3,1,2,0,4,0.75,1.75,685,Average,824,Average,40.679058,-73.779617
DC687,THE NEW FRIENDLY DAY CARE CENTER,THE FRIENDLY BAPTIST CHURCH,1278 NELSON AVENUE,BRONX,10452,718-588-5050,7195,2015-10-25,Permitted,2 YEARS - 5 YEARS,76,No,Private,21,2,11,8,7,3.0,5.14286,1863,Bottom 30%,1809,Bottom 30%,40.8396202,-73.9237892
DC14658,"THE NEW YORK DIAGNOSTIC CENTER, INC","DIAGNOSTIC ENTERPRISES, INC.",502  FLATBUSH AVENUE,BROOKLYN,11225,718-363-3261,7653,2015-11-21,Permitted,2 YEARS - 5 YEARS,30,No,Private,10,1,7,2,5,2.0,3.8,1483,Bottom 30%,1529,Bottom 30%,40.661826,-73.96190790000001
DC14206,THE NEW YORK INSTITUTE FOR SPECIAL EDUCATION,THE NEW YORK INSTITUTE FOR SPECIAL EDUCATION,985 ASTOR AVENUE,BRONX,10469,718-519-7000,5417,2016-06-28,Permitted,2 YEARS - 5 YEARS,167,No,Private,6,1,2,3,3,2.0,3.33333,1484,Bottom 30%,1386,Bottom 30%,40.8596992,-73.8594128
DC21073,THE NURTURING ACADEMY  INFANT/TODDLER,THE NURTURING CENTER INC.,112-18 SPRINGFIELD BLVD,QUEENS,11429,718-527-5932,8341,2014-11-17,Permitted,0 YEARS - 2 YEARS,23,No,Private,0,0,0,0,6,0.0,0.0,75,Top 5%,185,Top 5%,40.704885,-73.740349
DC11944,THE PLAY GROUP EXPERIENCE,"THE PLAY GROUP EXPERIENCE, INC,.",90 BOULDER STREET,STATEN ISLAND,10312,718-967-0494,6539,2016-03-31,Permitted,2 YEARS - 5 YEARS,28,No,Private,9,5,0,4,6,1.5,3.16667,1211,Average,1343,Bottom 30%,40.546144,-74.197037
DC21811,THE PUERTO RICAN FAMILY INSTITUTE BRONX  HEAD START,THE PUERTO RICAN FAMILY INSTITUTE INC.,1423 PROSPECT AVENUE,BRONX,10459,718-991-5590,8302,2015-05-26,Permitted,2 YEARS - 5 YEARS,180,No,Head Start (Direct Fed. Funding),5,0,2,3,5,1.0,1.4,798,Average,709,Average,40.832659,-73.896981
DC1948,THE RAINBOW CAMPUS,"THE RAINBOW CAMPUS, INC.",1110 BERGEN STREET,BROOKLYN,11216,718-774-5652,7068,2015-03-05,Permitted,2 YEARS - 5 YEARS,25,No,Private,7,2,3,2,6,1.16667,2.33333,990,Average,1075,Average,40.676042,-73.9490316
DC14367,"THE RAT'S PLAYHOUSE WORKSHOP, INC.","THE RAT'S PLAYHOUSE WORKSHOP, INC.",835 OCEAN AVENUE,BROOKLYN,11226,718-282-6285,5152,2016-06-28,Permitted,2 YEARS - 5 YEARS,20,No,Private,43,6,21,16,9,4.77778,8.44444,2126,Bottom 5%,2112,Bottom 5%,40.642331,-73.959188
DC2628,THE RED BALLOON DAY CARE CENTER,"THE RED BALLOON DAY CARE CENTER, INC.",560 RIVERSIDE DRIVE,MANHATTAN,10027,212-663-9006,0724,2014-07-02,Expired-InRenewal,2 YEARS - 5 YEARS,45,No,Private,5,2,2,1,5,1.0,2.2,805,Average,1012,Average,40.8167635,-73.9604616
DC1364,"THE RICHMONDTOWN CHILDREN'S PRE-SCHOOL,INC.","THE RICHMONDTOWN CHILDREN'S PRE-SCHOOL, INC.",3435 RICHMOND ROAD,STATEN ISLAND,10306,718-987-7623,5256,2014-10-23,Permitted,2 YEARS - 5 YEARS,25,No,Private,17,4,8,5,6,2.83333,5.5,1824,Bottom 30%,1869,Bottom 15%,40.573351,-74.135328
DC2664,THE RIVERSIDE CHURCH WEEKDAY SCHOOL,THE RIVERSIDE CHURCH,490 RIVERSIDE DRIVE,MANHATTAN,10027,212-870-6743,1782,2015-07-03,Permitted,2 YEARS - 5 YEARS,145,No,Private,4,1,1,2,3,1.33333,2.33333,1102,Average,1073,Average,40.81183559999999,-73.9630243
DC17224,THE ROCKEFELLER UNIVERSITY CHILD & FAMILY CENTER,THE ROCKEFELLER UNIVERSITY,1230 YORK AVE,MANHATTAN,10065,212-327-7071,7784,2015-06-15,Permitted,2 YEARS - 5 YEARS,66,No,Private,12,2,5,5,4,3.0,5.25,1849,Bottom 30%,1821,Bottom 30%,40.7629161,-73.9558137
DC2692,THE ROCKEFELLER UNIVERSITY CHILD AND FAMILY CENTER,THE ROCKEFELLER UNIVERSITY,1230 YORK AVENUE 10065,MANHATTAN,10065,212-327-7071,6984,2015-09-05,Permitted,0 YEARS - 2 YEARS,28,No,Private,4,1,1,2,3,1.33333,2.33333,1101,Average,1072,Average,40.7629161,-73.9558137
DC14464,THE ROCKEFELLER UNIVERSITY CHILD AND FAMILY CENTER,THE ROCKEFELLER UNIVERSITY,1230 YORK AVENUE 10065,MANHATTAN,10065,212-327-7073,6211,2015-09-05,Permitted,0 YEARS - 2 YEARS,28,No,Private,8,0,4,4,3,2.66667,4.0,1787,Bottom 30%,1581,Bottom 30%,40.7629161,-73.9558137
DC11877,THE SALVATION  ARMY TREMONT DAY CARE  CENTER,THE SALVATION ARMY,2121 WASHINGTON AVENUE,BRONX,10457,718-563-1530,7304,2015-05-31,Permitted,2 YEARS - 5 YEARS,81,Yes,ACS Contracted Preschools,10,1,4,5,6,1.66667,2.66667,1317,Average,1187,Average,40.85212,-73.895577
DC2036,THE SALVATION ARMY BEDFORD DAY CARE CENTER,THE SALVATION ARMY,110 KOSCIUSZKO STREET,BROOKLYN,11216,718-552-2691,5695,2016-07-12,Permitted,2 YEARS - 5 YEARS,209,Yes,ACS Contracted Preschools,10,4,4,2,4,2.5,5.5,1721,Bottom 30%,1861,Bottom 15%,40.6905615,-73.9506164
DC359,THE SALVATION ARMY BRONX CITADEL DAY CARE CENTER,THE SALVATION ARMY,425 EAST 159TH STREET,BRONX,10451,718-742-2346,3093,2014-10-25,Permitted,2 YEARS - 5 YEARS,45,Yes,ACS Contracted Preschools,0,0,0,0,3,0.0,0.0,33,Top 5%,228,Top 5%,40.8227957,-73.91336299999999
DC14417,THE SALVATION ARMY BROWNSVILLE DAY CARE CENTER,THE SALVATION ARMY,280 RIVERDALE AVENUE,BROOKLYN,11212,718-345-2488,4121,2015-07-15,Permitted,2 YEARS - 5 YEARS,80,Yes,ACS Contracted Preschools,35,8,18,9,10,3.5,6.9,1970,Bottom 15%,2016,Bottom 15%,40.66099,-73.906154
DC2032,THE SALVATION ARMY BUSHWICK DAY CARE CENTER,THE SALVATION ARMY INC,1151 BUSHWICK AVENUE,BROOKLYN,11221,718-455-0100,4095,2015-07-28,Permitted,2 YEARS - 5 YEARS,55,Yes,ACS Contracted Preschools,8,1,4,3,4,2.0,3.5,1452,Bottom 30%,1428,Bottom 30%,40.6893276,-73.9172258
DC24666,"THE SANSONE FOUNDATION, SEEDS OF UNITY DAYCARE","CONGRESS OF ITALIAN AMERICAN ORGANIZATIONS,INC.",5816 13TH AVENUE,BROOKLYN,11219,347-715-6546,53981,2015-11-08,Permitted,2 YEARS - 5 YEARS,20,No,Private,0,0,0,0,1,0.0,0.0,125,Top 5%,231,Top 5%,40.629748,-73.998014
DC1193,THE SAUL AND CAROLE NURSERY SCHOOL AT THE  J C C  IN  MANHATTAN,"JEWISH COMMUNITY CENTER ON THE UPPER WEST SIDE,INC.",334 AMSTERDAM AVENUE,MANHATTAN,10023,646-505-4400,7040,2015-02-01,Permitted,2 YEARS - 5 YEARS,130,Yes,Private,11,0,4,7,4,2.75,3.75,1799,Bottom 30%,1503,Bottom 30%,40.781189,-73.9800358
DC1334,THE SHIELD INSTITUTE,"SHIELD OF DAVID, INC.",144-61 ROOSEVELT AVENUE,QUEENS,11354,718-939-8700,5200,2016-02-08,Permitted,2 YEARS - 5 YEARS,162,Yes,Private,0,0,0,0,6,0.0,0.0,223,Top 5%,232,Top 5%,40.7622297,-73.8198661
DC58,THE SHIELD INSTITUTE  BRONX  EARLY LEARNING CENTER,"THE SHIELD INSTITUTE, INC.",1800 ANDREWS AVENUE,BRONX,10453,718-299-7600,1879,2014-10-27,Permitted,2 YEARS - 5 YEARS,190,Yes,Private,9,2,4,3,3,3.0,5.66667,1850,Bottom 30%,1886,Bottom 15%,40.8515469,-73.915365
DC15202,THE STUDIO SCHOOL,THE STUDIO SCHOOL,117 WEST 95TH STREET,MANHATTAN,10025,212-678-2416,7835,2015-12-01,Permitted,2 YEARS - 5 YEARS,51,No,Private,3,1,1,1,3,1.0,2.0,816,Average,921,Average,40.7926645,-73.96871250000001
DC11019,THE TANGLEWOOD SCHOOL,TANGLEWOOD MONTESSORI CORP,15 TANGLEWOOD DRIVE,STATEN ISLAND,10308,718-967-2424,4933,2016-07-21,Permitted,2 YEARS - 5 YEARS,84,No,Private,3,1,2,0,4,0.75,1.75,693,Average,822,Average,40.567288,-74.151684
DC2828,THE TIME WARNER  CHILDREN'S CENTER,BRIGHT HORIZONS CHILDREN'S CENTER,1271 AVENUE OF THE AMERICAS,MANHATTAN,10020,212-767-4123,5818,2016-01-31,Permitted,2 YEARS - 5 YEARS,15,No,Corporate,0,0,0,0,3,0.0,0.0,180,Top 5%,202,Top 5%,40.7604382,-73.9807637
DC2682,THE TIME WARNER CHILDREN'S CENTER,BRIGHT HORIZONS CHILDREN'S CENTER,1271 AVENUE OF THE AMERICAS,MANHATTAN,10020,212-767-4123,5817,2014-01-31,Expired-InRenewal,0 YEARS - 2 YEARS,6,No,Corporate,0,0,0,0,3,0.0,0.0,189,Top 5%,204,Top 5%,40.7604382,-73.9807637
DC435,THE TINY TOTS PLAYHOUSE LLC,THE TINY TOTS PLAYHOUSE LLC,243 88 STREET,BROOKLYN,11209,718-745-4509,1284,2014-10-21,Permitted,2 YEARS - 5 YEARS,26,No,Private,2,0,0,2,5,0.4,0.4,468,Top 30%,323,Top 15%,40.6225669,-74.03289199999999
DC18603,"THE TOTS LOT,INC..","THE TOTS LOT, INC.",133-16 SPRINGFIELD BLVD.,QUEENS,11413,718-949-2100,8038,2015-07-22,Permitted,2 YEARS - 5 YEARS,30,No,Private,5,1,2,2,5,1.0,1.8,818,Average,859,Average,40.6821907,-73.7518186
DC2395,THE VILLAGE PRE-SCHOOL,LISBETH BRANDEFINE OWNER/OPERATOR,76 ST ALBAN'S PLACE,STATEN ISLAND,10312,718-967-5809,5747,2014-12-26,Permitted,2 YEARS - 5 YEARS,29,No,Private,5,0,2,3,5,1.0,1.4,821,Average,707,Average,40.5440994,-74.16113709999999
DC14276,THE WASHINGTON MARKET SCHOOL,THE WASHINGTON MARKET SCHOOL,134 DUANE STREET,MANHATTAN,10013,212-406-7271,7297,2015-01-03,Permitted,2 YEARS - 5 YEARS,84,No,Private,5,1,1,3,3,1.66667,2.66667,1291,Average,1183,Average,40.715967,-74.007673
DC2225,THE WASHINGTON MARKET SCHOOL,THE WASHINGTON MARKET SCHOOL,55 HUDSON STREET,MANHATTAN,10013,212-233-2176,5879,2014-08-25,Permitted,2 YEARS - 5 YEARS,143,No,Private,21,3,12,6,5,4.2,7.8,2090,Bottom 5%,2084,Bottom 5%,40.7177088,-74.0092572
DC24577,THE WILLIAM WOODARD JR. NURSERY SCHOOL,THE WILLIAM WOODARD JR. NURSERY SCHOOL,435 EAST 70TH STREET,MANHATTAN,10021,212-744-6611,53957,2015-11-07,Permitted,2 YEARS - 5 YEARS,45,No,Private,6,1,3,2,1,6.0,11.0,2159,Bottom 5%,2156,Bottom 5%,40.765871,-73.9550467
DC21940,THE WILLIAMSBURG NURSERY SCHOOL,THE WILLIAMSBURG NEIGHBORHOOD NURSERY SCHOOL,54 SOUTH 2ND STREET,BROOKLYN,11249,718-782-4181,23637,2014-10-01,Permitted,2 YEARS - 5 YEARS,64,No,Private,15,4,8,3,5,3.0,6.2,1876,Bottom 30%,1950,Bottom 15%,40.7142963,-73.96585089999999
