Site ID,Visit Date,Regulation Summary,Violation Category,Code-Sub-Section,Violation Status
DC18709,05/16/2014,"At time of inspection children were observed occupying space not previously approved by the Dept of Buildings, FDNY and/or DOHMH.",CRITICAL,47.57 (f),CORRECTED
DC1756,03/25/2014,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.,PUBLIC HEALTH HAZARD,47.41 (e)+*,CORRECTED
DC1756,03/25/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC14225,05/21/2014,Child care service failed to provide constant and competent supervision for children within its care.,PUBLIC HEALTH HAZARD,47.23 (a)(b)*,CORRECTED
DC14225,05/21/2014,Child care service failed to maintain required staff to child supervision ratios at time of inspection.,PUBLIC HEALTH HAZARD,47.23 (f)*,CORRECTED
DC14225,05/21/2014,At time of inspection required hand wash signs were not provided.,GENERAL,47.35 (b),
DC14225,05/21/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC14225,05/21/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,
DC14225,05/21/2014,Outdoor play area was observed not maintained nor free of hazards or nuisances at time of inspection.,CRITICAL,47.47 (e),
DC14225,05/21/2014,Climbing and other elevated equipment observed not provided with approved resilient ground cover at time of inspection.,CRITICAL,47.47 (f),
DC14225,05/21/2014,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,47.57 (b),
DC14225,05/21/2014,Adequate plumbing not provided or maintained at time of inspection.,GENERAL,81.21 (a),
DC3066,10/29/2013,Windows excluding fire escape windows in a child care service observed without window guards in a child care service.,PUBLIC HEALTH HAZARD,47.41 (e)+*,CORRECTED
DC546,12/19/2013,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,CRITICAL,47.41 (h),CORRECTED
DC546,12/19/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC546,12/19/2013,At time of inspection lavatory facilities failed to be provided with child high/accessible toilets and sinks.,CRITICAL,47.43 (f)+,CORRECTED
DC546,12/19/2013,Beverages with added sweeteners observed being served to children at time of inspection.,GENERAL,47.61 (b)(1),CORRECTED
DC21933,03/14/2014,Child care service failed to provide or maintain record of staff immunizations.,GENERAL,47.33 (c),
DC17237,01/23/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC1802,05/01/2014,At time of inspection inside temperature of between 68 deg. F. and 72 deg. F. was not maintained when outside temperature registered below 55 deg. F.,CRITICAL,47.57 (d),
DC2688,05/13/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC217,03/18/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC217,03/18/2014,Child care service providing care for infant/toddlers and/or night care failed to have staff complete SIDS and Shaken Baby identification and prevention training.,GENERAL,47.37(c ),CORRECTED
DC217,03/18/2014,Child care service Assistant Teacher staff have failed to take required 15 hours of training every 24 months.,GENERAL,47.37(d),CORRECTED
DC218,03/18/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),CORRECTED
DC218,03/18/2014,At time of inspection it was determined that child care service failed to ensure staff received required training within time frames and/or failed to maintain training records.,GENERAL,47.37 (b)(1),CORRECTED
DC16671,01/02/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14454,10/09/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC16672,12/19/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC14360,05/13/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22315,01/02/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22322,05/22/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC15558,01/02/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14359,05/22/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2099,05/22/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC1061,10/16/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC14362,10/23/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC2119,04/04/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC323,04/03/2014,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC677,12/11/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC677,12/11/2013,At time of inspection child care service facility observed not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,47.49 (a),CORRECTED
DC10639,05/28/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC10639,05/28/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC10639,05/28/2014,Exits and other egress not provided with required signage at time of inspection.,CRITICAL,47.59 (a),
DC12192,03/21/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22372,01/30/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC10521,04/04/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
DC10521,04/04/2014,At time of inspection hand wash sinks are not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,47.43 (e)+,CORRECTED
DC90,12/05/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC22211,05/15/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC17651,05/20/2014,Child care service failed to arrange/conduct criminal/SCR background clearance checks for required individuals; failed to re-clear required individuals with the SCR every two years.,PUBLIC HEALTH HAZARD,47.19 (c)*,
DC17651,05/20/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),
DC17651,05/20/2014,At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,CRITICAL,47.25 (a)(1),
DC22829,04/09/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC26068,04/09/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20455,11/06/2013,There were no new violations observed at the time of this inspection/visit.,"
",,
DC20116,02/12/2014,At time of inspection inside temperature of between 68 deg. F. and 72 deg. F. was not maintained when outside temperature registered below 55 deg. F.,CRITICAL,47.57 (d),CORRECTED
DC14721,05/28/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC14723,02/26/2014,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),
DC14723,02/26/2014,At time of inspection child care service failed to provide sufficient lighting and or failed to maintain adequate foot candles in areas used by children.,GENERAL,47.45 (b),
DC2959,05/23/2014,Child care service providing care without a staff member trained in First Aid/CPR on site at time of inspection.,CRITICAL,47.23 (e),CORRECTED
DC25391,02/07/2014,There were no new violations observed at the time of this inspection/visit.,"
",,
DC21486,12/12/2013,At time of inspection floors/walls ceilings were observed not maintained; in disrepair or covered in a toxic finish.,GENERAL,47.41 (j),CORRECTED
